7,0,1680,1200,null
7,0,1680,1296,null
7,0,1680,1248,null
7,0,1728,1248,null
6,0,1728,1296,null
7,0,1728,1344,null
6,0,1632,1296,null
6,0,1632,1248,null
7,0,1584,1200,null
7,0,1632,1200,null
7,0,1584,1248,null
7,0,1584,1296,null
7,0,1536,1200,null
7,0,1488,1200,null
7,0,1488,1248,null
6,0,1536,1248,null
6,0,1536,1296,null
6,0,1584,1344,null
6,0,1680,1344,null
6,0,1680,1392,null
6,0,1632,1344,null
6,0,1536,1392,null
6,0,1584,1392,null
6,0,1632,1392,null
6,0,1680,1440,null
6,0,1632,1440,null
6,0,1680,1488,null
1,1,1728,1536,null
2,1,1776,1536,null
3,1,1824,1536,null
4,1,1728,1488,null
5,1,1776,1488,null
6,1,1824,1488,null
0,2,1824,1392,null
8,1,1776,1392,null
7,1,1728,1392,null
6,1,1824,1440,null
4,1,1728,1440,null
0,1,1776,1440,null
8,0,1824,1344,null
7,0,1776,1344,null
7,0,1776,1296,null
7,0,1632,1488,null
7,0,1680,1536,null
7,0,1584,1440,null
7,0,1536,1344,null
7,0,1488,1344,null
8,0,1488,1296,null
8,0,1440,1344,null
8,0,1440,1296,null
8,0,1440,1248,null
8,0,1440,1200,null
8,0,1392,1200,null
8,0,1392,1296,null
8,0,1392,1248,null
8,0,1392,1344,null
8,0,1344,1344,null
7,0,1344,1296,null
7,0,1344,1248,null
7,0,1248,1200,null
7,0,1248,1296,null
7,0,1296,1296,null
7,0,1200,1248,null
7,0,1200,1200,null
7,0,1152,1200,null
7,0,1152,1296,null
7,0,1200,1344,null
7,0,1152,1344,null
7,0,1248,1344,null
7,0,1296,1344,null
8,0,1296,1248,null
8,0,1248,1248,null
8,0,1296,1200,null
8,0,1344,1200,null
8,0,1200,1296,null
8,0,1152,1248,null
4,2,1104,1248,null
5,2,1104,1296,null
6,2,1104,1344,null
2,4,1488,1200,null
3,4,1536,1200,null
1,4,1440,1200,null
1,4,1200,1200,null
2,4,1248,1200,null
3,4,1344,1200,null
2,4,1296,1200,null
5,4,1104,1392,null
6,4,1104,1440,null
7,4,1104,1344,null
6,4,1104,1296,null
5,4,1104,1248,null
6,0,960,1200,null
6,0,1008,1200,null
6,0,1056,1200,null
6,0,1056,1248,null
7,0,1008,1248,null
6,0,960,1248,null
6,0,960,1296,null
6,0,960,1344,null
7,0,1008,1344,null
7,0,1056,1344,null
7,0,1056,1296,null
7,0,1008,1296,null
3,0,1680,1200,null
4,0,1680,1248,null
5,0,1680,1296,null
3,0,1728,1248,null
4,0,1728,1296,null
5,0,1728,1344,null
3,0,1776,1296,null
3,0,1824,1344,null
4,0,1776,1344,null
4,0,1824,1392,null
5,0,1824,1440,null
5,0,1776,1392,null
3,2,1056,1344,null
2,2,1056,1296,null
1,1,1872,1536,null
1,1,1872,1440,null
4,1,1872,1488,null
7,1,1872,1392,null
8,1,1920,1392,null
8,1,1968,1392,null
8,1,2016,1392,null
8,1,2064,1392,null
0,2,2112,1392,null
6,1,2112,1488,null
3,1,2112,1440,null
3,1,2112,1536,null
0,1,1920,1440,null
0,1,1968,1488,null
0,1,2016,1440,null
0,1,2064,1536,null
0,1,2016,1536,null
2,1,2016,1488,null
2,1,1920,1536,null
2,1,1968,1440,null
2,1,2064,1440,null
5,1,2064,1488,null
5,1,1968,1536,null
5,1,1920,1488,null
0,3,1920,1344,null
1,3,1968,1344,null
3,3,1296,1344,null
2,3,1248,1344,null
