7,0,1008,1104,null
7,0,1152,1104,null
0,1,1152,1056,null
1,1,1104,1104,null
5,1,1056,1104,null
5,1,1200,1104,null
3,1,1248,1104,null
4,1,1296,1104,null
1,1,1344,1104,null
7,0,1392,1104,null
3,1,1440,1104,null
4,1,1488,1104,null
2,1,1200,1056,null
5,1,1536,1104,null
5,1,1584,1104,null
6,1,1296,1056,null
6,1,1344,1056,null
6,1,1056,1056,null
0,1,1104,1056,null
0,1,1392,1056,null
6,0,1248,1056,null
2,1,1536,1056,null
0,2,1104,1200,null
1,2,1056,1152,null
2,2,1104,1152,null
3,2,1152,1152,null
0,3,1200,1152,null
0,3,1248,1152,null
1,3,1296,1152,null
0,3,1344,1152,null
1,3,1440,1152,null
1,3,1488,1152,null
2,3,1536,1152,null
2,3,1584,1152,null
1,3,1632,1152,null
3,3,1680,1152,null
3,3,1728,1200,null
3,3,1776,1248,null
3,3,1824,1296,null
4,3,1104,1392,null
5,3,1104,1440,null
6,3,1104,1488,null
7,3,1104,1536,null
5,1,1680,1104,null
7,0,1632,1104,null
7,0,1728,1104,null
6,0,1584,1056,null
4,2,1728,1152,null
4,2,1824,1248,null
1,0,1152,1392,null
1,0,1056,1392,null
0,0,1008,1392,null
0,0,1200,1392,null
0,0,1248,1392,null
0,0,1296,1392,null
0,0,1344,1392,null
2,0,1152,1440,null
4,0,1056,1440,null
3,0,1008,1440,null
3,0,1200,1440,null
3,0,1248,1440,null
3,0,1296,1440,null
1,0,1392,1392,null
3,1,1344,1440,null
4,1,1392,1440,null
3,0,1440,1440,null
4,0,1488,1440,null
4,0,1536,1440,null
4,0,1584,1488,null
4,0,1632,1536,null
2,0,1680,1584,null
3,1,1680,1632,null
4,1,1728,1632,null
5,1,1536,1488,null
5,1,1584,1584,null
4,1,1584,1536,null
3,1,1536,1536,null
6,1,1632,1632,null
6,0,1584,1632,null
6,0,1488,1536,null
6,0,1392,1488,null
2,1,1440,1488,null
6,1,1488,1488,null
2,1,1632,1584,null
0,0,1728,1584,null
0,0,1776,1584,null
1,0,1824,1584,null
0,0,1872,1584,null
1,0,1920,1584,null
0,0,1968,1584,null
0,0,1488,1392,null
0,0,1440,1392,null
0,3,1008,1152,null
0,3,960,1152,null
7,0,960,1104,null
6,0,1008,1056,null
0,1,960,1056,null
0,0,960,1392,null
3,0,960,1440,null
1,3,1872,1344,null
1,3,1920,1344,null
1,3,1968,1344,null
2,3,2016,1344,null
0,0,2016,1584,null
7,0,1824,1152,null
7,0,1872,1200,null
0,1,1776,1104,null
1,1,1776,1152,null
3,1,1872,1248,null
4,1,1920,1248,null
2,1,1920,1200,null
5,1,1872,1296,null
5,1,1776,1200,null
5,1,1824,1200,null
6,1,1728,1056,null
6,1,1872,1152,null
6,1,1824,1104,null
5,1,1968,1248,null
5,1,2016,1248,null
3,1,2016,1296,null
4,1,2064,1296,null
1,1,1920,1296,null
7,0,1968,1296,null
6,1,1968,1200,null
0,0,2064,1584,null
1,0,2112,1584,null
1,3,2064,1344,null
2,3,2112,1344,null
5,2,1584,1440,StairsRightDown
5,2,1536,1392,StairsRightDown
5,2,1632,1488,StairsRightDown
5,2,1680,1536,StairsRightDown
1,3,1392,1152,HighCelling
7,2,1968,1536,null
